clusterID,template,size
1,"<:Timestamp:> | INFO | <:IP:> | dbservice1 | permission_operate.py -> permission_operation -> 35 | <:*:> | the list of all available services are redisservice1: http://<:IP-Port:>, redisservice2: http://<:IP-Port:>",1520693
2,<:Timestamp:> | INFO | <:IP:> | dbservice1 | permission_operate.py -> permission_operation -> 51 | <:*:> | now call <:*:> inst:http://<:IP-Port:> as a downstream service,1520602
3,<:Timestamp:> | INFO | <:IP:> | <:IP:> | dbservice1 | <:*:> | query = select passwards from username_table where <:*:>,1427968
4,<:Timestamp:> | <:ITEM:> token generate success token=<:TokenID:>,1357548
5,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> <:*:> -> <:*:> | <:*:> | (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:IP:>' (timed out)"")(Background on this error at: http://sqlalche.me/e/14/e3q8)",99
6,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> db_login_methods -> 62 | {trace_id} | password in database of {user} is null, the user is not registered",27423
7,"<:Timestamp:> | INFO | <:IP:> | <:IP:> | dbservice1 | <:*:> | the list of all available services are redisservice1: http://<:IP-Port:>, redisservice2: http://<:IP-Port:>",3478
8,<:Timestamp:> | INFO | <:IP:> | <:IP:> | dbservice1 | <:*:> | now call <:*:> inst:http://<:IP-Port:> as a downstream service,3537
9,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> sql_ano_prob -> 92 | <:*:> | (pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)",21378
10,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> sql_ano_prob -> 92 | <:*:> | (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)",21752
11,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)",2587
12,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)",2647
13,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> sql_ano_prob -> 92 | <:*:> | (pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)",21640
14,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)",2695
15,<:Timestamp:> | INFO | <:IP:> | dbservice1 | db_helper.py -> db_login_methods -> 52 | <:*:> | query = select passwards from username_table where <:*:>,1404
16,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> <:*:> -> <:*:> | <:*:> | (pymysql.err.OperationalError) (1040, 'ny connections')(Background on this error at: http://sqlalche.me/e/14/e3q8)",28129
17,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.OperationalError) (1040, 'ny connections')(Background on this error at: http://sqlalche.me/e/14/e3q8)",50
18,<:Timestamp:> | ERROR | <:IP:> | dbservice1 | permission_operate.py -> permission_operation -> 81 | <:*:> | service refuse,18872
19,<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> db_login_methods -> 41 | <:*:> | dbservice1 access redis service denied,18887
20,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:IP:>' (timed out)"")(Background on this error at: http://sqlalche.me/e/14/e3q8)",3
21,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | {trace_id} | password in database of {user} is null, the user is not registered",5
22,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> <:*:> -> <:*:> | <:*:> | QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: http://sqlalche.me/e/14/3o7r)",1079
23,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: http://sqlalche.me/e/14/3o7r)",31
24,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> db_login_methods -> 58 | <:*:> | (pymysql.err.OperationalError) (2013, 'Lost connection to MySQL server during query ([Errno 110] Connection timed out)')[SQL: select passwards from username_table where <:*:> on this error at: http://sqlalche.me/e/14/e3q8)",31
25,"<:Timestamp:> | ERROR | <:IP:> | dbservice1 | db_helper.py -> <:*:> -> <:*:> | <:*:> | (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:IP:>' ([Errno 111] Connection refused)"")(Background on this error at: http://sqlalche.me/e/14/e3q8)",16164
26,"<:Timestamp:> | ERROR | <:IP:> | <:IP:> | dbservice1 | <:*:> | (pymysql.err.OperationalError) (2003, ""Can't connect to MySQL server on '<:IP:>' ([Errno 111] Connection refused)"")(Background on this error at: http://sqlalche.me/e/14/e3q8)",9
